red_venta;mes_ano;operaciones_s3
01-0;01/01/2020;2034
01-0;01/02/2020;3223
01-0;01/03/2020;1595
01-0;01/04/2020;276
01-0;01/05/2020;587
01-0;01/06/2020;1491
01-0;01/07/2020;1552
01-0;01/08/2020;1530
01-0;01/09/2020;2104
01-0;01/10/2020;2477
01-0;01/11/2020;9184
01-0;01/12/2020;10935
01-0;01/01/2021;12493
01-0;01/02/2021;16301
01-0;01/03/2021;21011
01-0;01/04/2021;26321
01-0;01/05/2021;32059
01-0;01/06/2021;35314
01-0;01/07/2021;51380
01-0;01/08/2021;49504
01-0;01/09/2021;80546
01-0;01/10/2021;99066
01-0;01/11/2021;112044
01-0;01/12/2021;107339
01-0;01/01/2022;120457
01-0;01/02/2022;130009
01-0;01/03/2022;161206
01-0;01/04/2022;157575
01-0;01/05/2022;179808
01-0;01/06/2022;177452
01-0;01/07/2022;154512
01-0;01/08/2022;126903
01-0;01/09/2022;287539
01-0;01/10/2022;398643
01-0;01/11/2022;444321
01-0;01/12/2022;518220
01-0;01/01/2023;453514
01-0;01/02/2023;527685
01-0;01/03/2023;597886
01-0;01/04/2023;588174
01-0;01/05/2023;655689
01-0;01/06/2023;689709
01-0;01/07/2023;552838
01-1;01/11/2019;121
01-1;01/12/2019;45810
01-1;01/01/2020;96191
01-1;01/02/2020;82798
01-1;01/03/2020;31069
01-1;01/04/2020;1705
01-1;01/05/2020;5005
01-1;01/06/2020;14842
01-1;01/07/2020;31586
01-1;01/08/2020;27675
01-1;01/09/2020;49650
01-1;01/10/2020;34560
01-1;01/11/2020;32603
01-1;01/12/2020;70540
01-1;01/01/2021;39404
01-1;01/02/2021;36334
01-1;01/03/2021;40951
01-1;01/04/2021;40270
01-1;01/05/2021;40541
01-1;01/06/2021;44578
01-1;01/07/2021;43203
01-1;01/08/2021;42168
01-1;01/09/2021;75541
01-1;01/10/2021;69729
01-1;01/11/2021;70540
01-1;01/12/2021;76899
01-1;01/01/2022;78843
01-1;01/02/2022;71514
01-1;01/03/2022;80876
01-1;01/04/2022;71302
01-1;01/05/2022;81687
01-1;01/06/2022;76455
01-1;01/07/2022;64108
01-1;01/08/2022;66936
01-1;01/09/2022;106748
01-1;01/10/2022;99503
01-1;01/11/2022;96023
01-1;01/12/2022;87120
01-1;01/01/2023;108096
01-1;01/02/2023;99648
01-1;01/03/2023;105398
01-1;01/04/2023;90199
01-1;01/05/2023;90517
01-1;01/06/2023;87943
01-1;01/07/2023;74065
01-2;01/01/2020;10697
01-2;01/02/2020;7943
01-2;01/03/2020;3290
01-2;01/04/2020;959
